cisp;mes;ano;mes_ano;aisp;risp;munic;mcirc;regiao;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;registro_ocorrencias;fase
1;1;2020;2020-01-01;5;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;0;8;0;0;2;62;32;13;107;0;0;3;0;0;0;0;5;8;123;5;60;13;54;99;237;0;1;0;129;2;2;0;0;1;22;4;0;1;8;0;0;0;0;0;665;3
4;1;2020;2020-01-01;5;1;Rio de Janeiro;3304557;Capital;1;0;0;1;0;1;3;27;1;1;8;59;19;21;99;4;0;1;1;0;0;0;0;4;109;5;66;29;50;84;239;0;0;0;42;7;1;6;0;5;16;4;15;13;10;3;0;0;0;0;600;3
5;1;2020;2020-01-01;5;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;2;30;2;0;19;130;36;13;179;5;3;7;0;0;0;0;7;20;223;10;117;12;93;258;497;0;0;0;97;13;8;6;1;0;58;9;12;7;32;1;0;0;0;0;1193;3
6;1;2020;2020-01-01;4;1;Rio de Janeiro;3304557;Capital;1;0;0;1;3;4;10;35;1;1;14;63;15;21;99;17;0;4;0;0;1;0;0;16;137;9;12;13;10;46;90;0;0;0;29;3;2;1;0;29;11;4;5;4;22;2;0;0;0;0;480;3
7;1;2020;2020-01-01;5;1;Rio de Janeiro;3304557;Capital;0;0;0;0;2;2;8;12;0;0;3;27;2;6;35;5;0;1;0;0;0;0;0;16;57;6;7;2;0;17;32;0;1;0;5;1;1;0;0;5;1;2;1;1;10;0;0;0;0;0;161;3
9;1;2020;2020-01-01;2;1;Rio de Janeiro;3304557;Capital;2;0;0;2;0;2;2;39;2;2;25;69;27;7;103;22;0;7;0;0;0;0;2;18;158;12;60;22;38;130;287;0;0;0;67;6;5;1;0;4;26;7;6;2;29;11;0;0;0;0;834;3
10;1;2020;2020-01-01;2;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;0;24;1;1;18;60;22;8;90;15;0;15;0;0;0;0;2;23;146;9;26;17;45;181;287;0;2;0;74;5;4;1;0;4;27;8;2;3;27;2;0;0;0;0;750;3
11;1;2020;2020-01-01;23;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;2;8;1;0;1;2;2;2;6;1;0;0;0;0;0;0;0;0;7;1;3;0;6;8;19;0;0;0;9;1;1;0;0;0;1;0;1;0;8;1;0;0;0;0;102;3
12;1;2020;2020-01-01;19;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;0;47;4;0;7;140;65;1;206;0;1;6;0;0;0;0;0;36;251;4;405;17;206;447;1116;0;0;1;66;35;29;7;0;1;75;30;30;26;32;2;0;0;0;0;1892;3
13;1;2020;2020-01-01;19;1;Rio de Janeiro;3304557;Capital;0;0;0;0;0;0;0;20;0;1;5;40;13;2;55;1;0;1;0;0;0;0;1;14;77;5;104;5;33;218;392;0;1;0;62;12;12;0;0;1;28;10;6;5;16;4;0;0;0;0;771;3
